GENE	ENSG
AC092013.1	ENSG00000227785
MTCO3P43	ENSG00000227788
SPECC1P1	ENSG00000227790
AC012358.3	ENSG00000227799
IGHD4-17	ENSG00000227800
DNAJB3	ENSG00000227802
AL158198.1	ENSG00000227803
RPL21P90	ENSG00000227805
AL355674.1	ENSG00000227809
INKA2-AS1	ENSG00000227811
Z82190.1	ENSG00000227813
MRPS17P9	ENSG00000227814
AL359265.1	ENSG00000227815
ARHGAP42P1	ENSG00000227817
AL590408.1	ENSG00000227818
AC122136.1	ENSG00000227824
SLC9A7P1	ENSG00000227825
AC138969.3	ENSG00000227827
AP003385.1	ENSG00000227834
CARM1P1	ENSG00000227835
AC008850.2	ENSG00000227836
AL121885.2	ENSG00000227838
MTND5P31	ENSG00000227841
AC093166.1	ENSG00000227842
AL627223.1	ENSG00000227845
SUCLA2-AS1	ENSG00000227848
RPS29P17	ENSG00000227852
DPY19L2P3	ENSG00000227855
AL358075.2	ENSG00000227857
AC002383.1	ENSG00000227863
TEX46	ENSG00000227868
ENSG00000227869	ENSG00000227869
GRAMD4P1	ENSG00000227874
RPL23AP89	ENSG00000227875
MRLN	ENSG00000227877
PSPC1P1	ENSG00000227879
AL050402.1	ENSG00000227880
THAP12P6	ENSG00000227882
AL590652.1	ENSG00000227885
RPS26P13	ENSG00000227887
FAM66A	ENSG00000227888
PSMA2P3	ENSG00000227890
OR5P4P	ENSG00000227892
LINC00352	ENSG00000227893
ENSG00000227895	ENSG00000227895
AL731569.1	ENSG00000227896
AC062032.1	ENSG00000227902
MED6P1	ENSG00000227905
SNAP25-AS1	ENSG00000227906
AL158837.1	ENSG00000227907
AC016596.1	ENSG00000227908
AC092634.3	ENSG00000227910
LINC02344	ENSG00000227911
KRT8P44	ENSG00000227913
AL136979.1	ENSG00000227914
AL449043.1	ENSG00000227917
AL353597.1	ENSG00000227920
SPTLC1P5	ENSG00000227922
LINC01655	ENSG00000227925
MACROD2-IT1	ENSG00000227927
SRGAP3-AS3	ENSG00000227929
AC003087.1	ENSG00000227930
SELENOOLP	ENSG00000227932
AL357874.1	ENSG00000227933
AL732414.1	ENSG00000227934
AL390243.1	ENSG00000227935
AC104695.1	ENSG00000227938
RPL3P2	ENSG00000227939
LINC01696	ENSG00000227940
UQCRBP2	ENSG00000227941
AL590006.1	ENSG00000227945
AC007383.2	ENSG00000227946
LINC01738	ENSG00000227947
AC003989.1	ENSG00000227948
LINC01341	ENSG00000227953
TARID	ENSG00000227954
AL390778.1	ENSG00000227958
AL451042.2	ENSG00000227959
AL138799.2	ENSG00000227960
AL391994.1	ENSG00000227962
RBM15-AS1	ENSG00000227963
LINC01429	ENSG00000227964
NR1H5P	ENSG00000227970
THAP12P3	ENSG00000227972
PIN4P1	ENSG00000227973
AC012668.1	ENSG00000227981
TRIM60P18	ENSG00000227986
AC092675.2	ENSG00000227987
AC108463.1	ENSG00000227992
MTND5P1	ENSG00000227999
RPL7AP65	ENSG00000228000
DHX9P1	ENSG00000228002
AC020743.1	ENSG00000228005
AC011933.1	ENSG00000228007
AC105935.1	ENSG00000228008
AC073343.2	ENSG00000228010
IL6R-AS1	ENSG00000228013
ZNF680P1	ENSG00000228014
AC074338.1	ENSG00000228015
RAPGEF4-AS1	ENSG00000228016
AC006480.2	ENSG00000228019
HNRNPA1P46	ENSG00000228020
AL158835.1	ENSG00000228021
HCG20	ENSG00000228022
AL136369.1	ENSG00000228027
AC069257.2	ENSG00000228028
AC019084.1	ENSG00000228030
AC078842.2	ENSG00000228031
AC010967.1	ENSG00000228033
NGF-AS1	ENSG00000228035
AL139246.3	ENSG00000228037
VN1R51P	ENSG00000228038
AC253536.2	ENSG00000228039
AL390729.1	ENSG00000228040
AC114763.1	ENSG00000228043
AL160408.1	ENSG00000228044
DNAJA1P6	ENSG00000228045
MTCO3P40	ENSG00000228046
AL355314.2	ENSG00000228048
POLR2J2	ENSG00000228049
TOP3BP1	ENSG00000228050
AL158823.1	ENSG00000228053
FAM245A	ENSG00000228055
SEC63P1	ENSG00000228057
LINC01736	ENSG00000228058
PABPC4-AS1	ENSG00000228060
AC131571.1	ENSG00000228061
LYPLAL1-DT	ENSG00000228063
LINC01515	ENSG00000228065
LINC01740	ENSG00000228067
MTCO3P29	ENSG00000228069
RPL7P47	ENSG00000228071
AL139008.2	ENSG00000228072
AC133106.1	ENSG00000228073
BOD1L2	ENSG00000228075
AL591719.1	ENSG00000228076
HLA-U	ENSG00000228078
AC012368.2	ENSG00000228079
AC092810.2	ENSG00000228081
Z86062.2	ENSG00000228082
AC118553.1	ENSG00000228084
AL589990.1	ENSG00000228086
MTATP6P11	ENSG00000228097
LINC01820	ENSG00000228100
LINC01757	ENSG00000228105
AL392172.1	ENSG00000228106
AP000692.1	ENSG00000228107
AC092839.1	ENSG00000228108
MELTF-AS1	ENSG00000228109
ST13P19	ENSG00000228110
AC003991.1	ENSG00000228113
AL161725.2	ENSG00000228115
MYL6P5	ENSG00000228118
AL162726.2	ENSG00000228123
AL096678.1	ENSG00000228124
FALEC	ENSG00000228126
LINC01649	ENSG00000228127
IGHD6-6	ENSG00000228131
AL360221.1	ENSG00000228132
AC099684.1	ENSG00000228133
LINC01494	ENSG00000228135
AP001469.2	ENSG00000228137
LINC01402	ENSG00000228139
AL031283.1	ENSG00000228140
AC105339.1	ENSG00000228141
AL354861.2	ENSG00000228142
AC078927.1	ENSG00000228144
CASP16P	ENSG00000228146
RPL3P1	ENSG00000228149
AL357140.2	ENSG00000228150
AC004941.1	ENSG00000228151
AL161793.1	ENSG00000228153
AL133343.1	ENSG00000228156
AC007952.2	ENSG00000228157
TLE1P1	ENSG00000228158
LINC01674	ENSG00000228159
AC097713.1	ENSG00000228162
MTND1P11	ENSG00000228166
HNRNPA1P21	ENSG00000228168
PPIAP19	ENSG00000228169
AC121251.1	ENSG00000228171
AL020996.1	ENSG00000228172
AC091770.1	ENSG00000228173
AL162385.1	ENSG00000228174
GEMIN8P4	ENSG00000228175
AC092265.1	ENSG00000228176
AL590365.1	ENSG00000228181
AC093433.1	ENSG00000228187
LINC02843	ENSG00000228189
AL512353.1	ENSG00000228192
RPL5P27	ENSG00000228195
PTPN2P1	ENSG00000228196
OR2M3	ENSG00000228198
AL022341.1	ENSG00000228201
RNF144A-AS1	ENSG00000228203
AC004830.2	ENSG00000228204
AC131235.2	ENSG00000228205
AC016717.1	ENSG00000228206
C1orf143	ENSG00000228208
HYAL6P	ENSG00000228211
OFD1P17	ENSG00000228212
NLGN1-AS1	ENSG00000228213
ENSG00000228214	ENSG00000228214
LINC02770	ENSG00000228215
AL355607.1	ENSG00000228216
ATF4P3	ENSG00000228218
NPM1P30	ENSG00000228219
LINC00578	ENSG00000228221
AC073050.1	ENSG00000228222
HCG11	ENSG00000228223
NACA4P	ENSG00000228224
AC012070.1	ENSG00000228226
AL589946.1	ENSG00000228231
GAPDHP1	ENSG00000228232
AP001476.3	ENSG00000228235
EFCAB14-AS1	ENSG00000228237
AL096803.1	ENSG00000228238
AL138900.1	ENSG00000228239
AC093495.1	ENSG00000228242
UBBP2	ENSG00000228247
AC012442.2	ENSG00000228251
COL6A4P2	ENSG00000228252
MT-ATP8	ENSG00000228253
AC096639.1	ENSG00000228255
AC136604.1	ENSG00000228259
ITPRIP-AS1	ENSG00000228261
LINC01320	ENSG00000228262
PSMD8P1	ENSG00000228264
ENSG00000228265	ENSG00000228265
LINC02048	ENSG00000228271
AC106874.1	ENSG00000228272
AL021707.2	ENSG00000228274
ARMCX3-AS1	ENSG00000228275
UMLILO	ENSG00000228277
ORM2	ENSG00000228278
AL731568.1	ENSG00000228280
KATNBL1P6	ENSG00000228283
LYPLA2P1	ENSG00000228285
AP000593.2	ENSG00000228286
PCAT6	ENSG00000228288
AL355862.1	ENSG00000228289
TBX18-AS1	ENSG00000228290
ARL4AP3	ENSG00000228291
AL512604.2	ENSG00000228292
AL049712.1	ENSG00000228293
BMS1P17	ENSG00000228294
LINC00392	ENSG00000228295
FAM174C	ENSG00000228300
AL512770.1	ENSG00000228302
AC095038.1	ENSG00000228303
AC016734.1	ENSG00000228305
OR2S1P	ENSG00000228307
LINC01209	ENSG00000228308
LINC01350	ENSG00000228309
GAPDHP45	ENSG00000228312
CYP4F29P	ENSG00000228314
GUSBP11	ENSG00000228315
AL158070.1	ENSG00000228317
AP001610.2	ENSG00000228318
AL162419.1	ENSG00000228322
MYADM-AS1	ENSG00000228323
IGKV3D-7	ENSG00000228325
AL669831.1	ENSG00000228327
AL158201.1	ENSG00000228328
LINC01890	ENSG00000228329
AL355355.1	ENSG00000228330
RPL17P43	ENSG00000228331
AC024028.1	ENSG00000228334
AC073063.1	ENSG00000228335
OR9H1P	ENSG00000228336
LINC01784	ENSG00000228338
AMD1P1	ENSG00000228339
MIR646HG	ENSG00000228340
AC115618.2	ENSG00000228343
EFCAB14P1	ENSG00000228348
LINC02585	ENSG00000228350
AC018832.1	ENSG00000228351
AL354989.1	ENSG00000228352
AL450322.1	ENSG00000228353
BX322559.1	ENSG00000228355
LINC02263	ENSG00000228358
AC009220.1	ENSG00000228360
AL606970.2	ENSG00000228361
AC015971.1	ENSG00000228363
SAR1AP1	ENSG00000228364
AL133351.1	ENSG00000228365
AL592437.1	ENSG00000228366
AC106873.1	ENSG00000228368
TXNDC12-AS1	ENSG00000228369
SMIM10L2B-AS1	ENSG00000228372
GAS2L1P2	ENSG00000228376
ITPKB-IT1	ENSG00000228382
AC007040.1	ENSG00000228384
AL031668.1	ENSG00000228386
ENSG00000228389	ENSG00000228389
AC011995.1	ENSG00000228391
AL162391.1	ENSG00000228392
LINC01004	ENSG00000228393
AL356481.1	ENSG00000228395
LINC01635	ENSG00000228397
AL109741.2	ENSG00000228399
AC079154.1	ENSG00000228400
AL590226.1	ENSG00000228401
AC035139.1	ENSG00000228403
AP001468.1	ENSG00000228404
AL139156.2	ENSG00000228407
AL031056.1	ENSG00000228408
CCT6P1	ENSG00000228409
LNC-LBCS	ENSG00000228412
AC024937.1	ENSG00000228413
LINC01185	ENSG00000228414
PTMAP1	ENSG00000228415
AL360182.2	ENSG00000228417
LINC01768	ENSG00000228420
AC005013.1	ENSG00000228421
LINC00687	ENSG00000228422
AL357552.3	ENSG00000228423
AL645634.1	ENSG00000228426
AL590764.1	ENSG00000228427
AC004910.1	ENSG00000228429
AL162726.3	ENSG00000228430
ARL5AP3	ENSG00000228431
DHFRP2	ENSG00000228432
OR7E23P	ENSG00000228433
AC004951.1	ENSG00000228434
AL139260.1	ENSG00000228436
LINC02474	ENSG00000228437
ENSG00000228439	ENSG00000228439
MTND5P6	ENSG00000228440
AL137244.1	ENSG00000228444
UGT1A2P	ENSG00000228445
AC073052.1	ENSG00000228446
SDAD1P1	ENSG00000228451
AC098484.1	ENSG00000228452
RPS15AP9	ENSG00000228453
LINC01546	ENSG00000228459
RPS19P7	ENSG00000228462
AP006222.1	ENSG00000228463
TUBB4AP1	ENSG00000228466
AL929236.1	ENSG00000228470
OST4	ENSG00000228474
CSTP1	ENSG00000228476
AL663070.2	ENSG00000228477
AL138885.2	ENSG00000228478
AC130464.1	ENSG00000228480
U51244.1	ENSG00000228481
LINC01713	ENSG00000228482
AL137025.1	ENSG00000228484
GRK5-IT1	ENSG00000228485
C2orf92	ENSG00000228486
AL450263.1	ENSG00000228487
AC092168.1	ENSG00000228488
RPL21P50	ENSG00000228489
RAB11FIP1P1	ENSG00000228492
LINC01013	ENSG00000228495
AC106875.1	ENSG00000228496
TMSB10P1	ENSG00000228499
RPL15P18	ENSG00000228501
EEF1A1P11	ENSG00000228502
AL357558.1	ENSG00000228503
LINC01760	ENSG00000228504
AC011897.1	ENSG00000228505
AL513550.1	ENSG00000228506
DAP3P2	ENSG00000228507
AC006460.1	ENSG00000228509
AL359091.2	ENSG00000228510
ENSG00000228512	ENSG00000228512
AC023271.2	ENSG00000228513
AC097263.1	ENSG00000228519
AC099552.3	ENSG00000228521
AL845321.1	ENSG00000228522
AL353689.1	ENSG00000228525
MIR34AHG	ENSG00000228526
AC016396.1	ENSG00000228527
AC068057.2	ENSG00000228528
AC005000.1	ENSG00000228532
LYPLAL1-AS1	ENSG00000228536
AC009411.1	ENSG00000228538
AL157413.1	ENSG00000228539
AC073326.1	ENSG00000228540
AC093159.1	ENSG00000228541
AC003684.1	ENSG00000228543
CCDC183-AS1	ENSG00000228544
AC091390.3	ENSG00000228546
OR7E26P	ENSG00000228547
ITPKB-AS1	ENSG00000228548
BX284668.2	ENSG00000228549
AC073583.1	ENSG00000228550
AC004837.2	ENSG00000228554
AL033519.4	ENSG00000228559
AL513323.1	ENSG00000228560
AC026355.2	ENSG00000228561
AL133247.1	ENSG00000228563
LINC01005	ENSG00000228564
AC013287.1	ENSG00000228566
VN1R4	ENSG00000228567
ENSG00000228569	ENSG00000228569
NUTM2E	ENSG00000228570
AL954722.1	ENSG00000228572
AL138962.1	ENSG00000228573
AC010731.3	ENSG00000228577
AC005042.2	ENSG00000228586
AL049748.1	ENSG00000228587
SPCS2P4	ENSG00000228589
AC007381.1	ENSG00000228590
AP000459.3	ENSG00000228592
FNDC10	ENSG00000228594
AC013436.1	ENSG00000228596
MACC1-AS1	ENSG00000228598
RPL7P52	ENSG00000228599
POLR2CP1	ENSG00000228600
AL121759.1	ENSG00000228604
AL139011.1	ENSG00000228606
CLDN25	ENSG00000228607
PDCL2P1	ENSG00000228610
HK2P1	ENSG00000228612
AC141930.1	ENSG00000228613
ENSG00000228614	ENSG00000228614
ENSG00000228616	ENSG00000228616
AC012462.2	ENSG00000228618
Z97056.1	ENSG00000228620
Z82198.1	ENSG00000228622
ZNF883	ENSG00000228623
HDAC2-AS2	ENSG00000228624
AL451047.1	ENSG00000228625
AC245100.3	ENSG00000228626
AC009468.1	ENSG00000228627
AC092295.1	ENSG00000228629
HOTAIR	ENSG00000228630
AL136115.1	ENSG00000228634
LINC02663	ENSG00000228636
FCF1P2	ENSG00000228638
ROCR	ENSG00000228639
AC079779.2	ENSG00000228643
PHKG1P2	ENSG00000228645
AL353747.2	ENSG00000228648
SNHG26	ENSG00000228649
AC008940.1	ENSG00000228650
ENSG00000228651	ENSG00000228651
HNRNPCP7	ENSG00000228653
AC079793.1	ENSG00000228655
MYO5BP3	ENSG00000228656
RPL23AP58	ENSG00000228657
LINC01201	ENSG00000228659
VN1R35P	ENSG00000228660
AC090587.1	ENSG00000228661
PSMD10P1	ENSG00000228663
AL513480.1	ENSG00000228664
BX679664.1	ENSG00000228665
KRT18P1	ENSG00000228666
AL157385.1	ENSG00000228667
TRGV5P	ENSG00000228668
LINC00448	ENSG00000228669
NANOGP2	ENSG00000228670
PROB1	ENSG00000228672
PPIAP59	ENSG00000228674
TTC3-AS1	ENSG00000228677
AL034347.1	ENSG00000228679
AC004692.2	ENSG00000228680
AC008072.1	ENSG00000228681
AC016820.1	ENSG00000228683
AL365356.2	ENSG00000228685
AL590723.1	ENSG00000228686
AL355997.1	ENSG00000228689
AL445307.1	ENSG00000228692
CES1P1	ENSG00000228695
ARL17B	ENSG00000228696
AL023755.1	ENSG00000228697
AC010655.1	ENSG00000228700
TNKS2-AS1	ENSG00000228701
AL645998.1	ENSG00000228702
ENSG00000228704	ENSG00000228704
LINC00659	ENSG00000228705
AL691426.1	ENSG00000228707
AL109763.1	ENSG00000228708
LINC02575	ENSG00000228709
AC004006.1	ENSG00000228711
AL691420.1	ENSG00000228714
DHFR	ENSG00000228716
LINC02521	ENSG00000228718
AL022313.2	ENSG00000228719
SRGAP3-AS2	ENSG00000228723
MTND2P12	ENSG00000228725
SAPCD1	ENSG00000228727
PPIAP91	ENSG00000228728
AL627308.1	ENSG00000228729
LINC02013	ENSG00000228730
AC096543.2	ENSG00000228734
AC011228.1	ENSG00000228735
AC008781.1	ENSG00000228737
AL162384.1	ENSG00000228739
GABRG3-AS1	ENSG00000228740
AL445985.1	ENSG00000228741
LINC02577	ENSG00000228742
RPS3AP30	ENSG00000228744
AL450306.1	ENSG00000228748
LINC01672	ENSG00000228750
AC004022.1	ENSG00000228751
EIF4BP2	ENSG00000228753
RPL13AP19	ENSG00000228754
AC244452.1	ENSG00000228757
LIMS1-AS1	ENSG00000228763
ZNF885P	ENSG00000228764
RPL7L1P8	ENSG00000228766
AC003101.1	ENSG00000228768
ABCF2P2	ENSG00000228769
AL033539.1	ENSG00000228772
WEE2-AS1	ENSG00000228775
AC114492.1	ENSG00000228776
LINC02534	ENSG00000228777
AL513542.1	ENSG00000228778
Z69666.1	ENSG00000228779
MRPL45P2	ENSG00000228782
LINC00954	ENSG00000228784
LINC00266-4P	ENSG00000228786
NLGN4Y-AS1	ENSG00000228787
HCG22	ENSG00000228789
THRB-AS1	ENSG00000228791
AL356310.1	ENSG00000228792
AL033523.1	ENSG00000228793
LINC01128	ENSG00000228794
FAM207BP	ENSG00000228797
ENSG00000228798	ENSG00000228798
LINC01939	ENSG00000228799
AL590068.1	ENSG00000228800
AC064807.1	ENSG00000228801
AC073641.1	ENSG00000228802
AC072022.1	ENSG00000228804
MRPS18CP6	ENSG00000228807
HMGB3P4	ENSG00000228808
AL034428.1	ENSG00000228809
PABPC1P11	ENSG00000228810
LAMA5-AS1	ENSG00000228812
MARK2P13	ENSG00000228815
AK3P5	ENSG00000228816
BACH1-IT2	ENSG00000228817
AL359918.2	ENSG00000228818
RPSAP1	ENSG00000228820
AL592309.1	ENSG00000228823
MIR4500HG	ENSG00000228824
LAMTOR3P1	ENSG00000228825
AL592494.1	ENSG00000228826
TLK2P2	ENSG00000228828
AC005077.3	ENSG00000228829
AL445189.2	ENSG00000228834
AC012123.1	ENSG00000228835
CT45A5	ENSG00000228836
CBX3P6	ENSG00000228837
AL355483.1	ENSG00000228838
PIK3IP1-AS1	ENSG00000228839
PCDH9-AS2	ENSG00000228842
ATP5MC2P4	ENSG00000228847
AC105402.2	ENSG00000228848
AC092802.3	ENSG00000228852
AC104653.1	ENSG00000228857
AC068389.1	ENSG00000228862
AL121985.1	ENSG00000228863
MYLKP1	ENSG00000228868
AC096664.1	ENSG00000228872
AC012307.1	ENSG00000228873
AC090954.1	ENSG00000228874
AC010745.2	ENSG00000228876
AL669970.3	ENSG00000228877
SEPTIN7-AS1	ENSG00000228878
AL591848.1	ENSG00000228879
CICP9	ENSG00000228882
RPL23AP26	ENSG00000228884
AL138963.1	ENSG00000228886
EEF1DP1	ENSG00000228887
LINC01428	ENSG00000228888
UBAC2-AS1	ENSG00000228889
AC012441.2	ENSG00000228897
RASA4CP	ENSG00000228903
AL353804.1	ENSG00000228906
LINC01803	ENSG00000228909
OR1H1P	ENSG00000228914
OR7E128P	ENSG00000228915
AL591806.1	ENSG00000228917
LINC01344	ENSG00000228918
AC097381.1	ENSG00000228919
AP000355.1	ENSG00000228923
AC016722.2	ENSG00000228925
TSPY3	ENSG00000228927
KPNA2P2	ENSG00000228928
RPS13P2	ENSG00000228929
AC107419.1	ENSG00000228933
SNRPD2P1	ENSG00000228938
AKT3-IT1	ENSG00000228939
UBE3AP2	ENSG00000228941
AC004485.1	ENSG00000228944
SLC25A6P5	ENSG00000228948
AC023137.2	ENSG00000228950
LINC02677	ENSG00000228951
LINC02041	ENSG00000228952
AL591623.2	ENSG00000228955
SATB1-AS1	ENSG00000228956
AL512590.1	ENSG00000228957
AL049812.3	ENSG00000228959
OR2A9P	ENSG00000228960
LINC01690	ENSG00000228961
ENSG00000228962	ENSG00000228962
OR7E93P	ENSG00000228963
HOMER2P1	ENSG00000228966
AC096554.1	ENSG00000228968
UBTFL6	ENSG00000228970
LINC02607	ENSG00000228971
AC009955.1	ENSG00000228973
AC006483.1	ENSG00000228974
SUMO2P8	ENSG00000228976
PPIAP55	ENSG00000228979
LINC01205	ENSG00000228980
AC097658.2	ENSG00000228981
AL627095.1	ENSG00000228982
SLC47A1P1	ENSG00000228983
AC021451.1	ENSG00000228984
AC234781.3	ENSG00000228986
AL353771.1	ENSG00000228988
ENSG00000228989	ENSG00000228989
RPL5P32	ENSG00000228992
MTND1P9	ENSG00000228995
AL136452.1	ENSG00000228997
AC096570.1	ENSG00000228999
SEPTIN7P8	ENSG00000229000
ACTBP14	ENSG00000229001
HNF4A-AS1	ENSG00000229005
EXOSC3P1	ENSG00000229007
TMPRSS11GP	ENSG00000229009
AL161672.1	ENSG00000229010
LINC01038	ENSG00000229011
AC003685.1	ENSG00000229012
AL450472.1	ENSG00000229015
LINC01277	ENSG00000229017
PMS2P7	ENSG00000229018
AL161457.1	ENSG00000229019
AKR7A2P1	ENSG00000229020
AL450992.2	ENSG00000229021
AL365366.1	ENSG00000229022
AC067945.1	ENSG00000229023
AP001595.1	ENSG00000229025
HSFY1P1	ENSG00000229027
KRT223P	ENSG00000229028
CDCA4P1	ENSG00000229029
MTCO1P25	ENSG00000229031
SPRR2C	ENSG00000229035
VDAC1P8	ENSG00000229036
AL031656.1	ENSG00000229042
AC091729.3	ENSG00000229043
AL451070.1	ENSG00000229044
HMGN1P2	ENSG00000229046
DUTP1	ENSG00000229048
LINC01788	ENSG00000229051
AL449283.1	ENSG00000229052
RPS29P14	ENSG00000229054
HECW2-AS1	ENSG00000229056
RPS3AP54	ENSG00000229057
AL451124.1	ENSG00000229060
TRBV23OR9-2	ENSG00000229063
AC104073.1	ENSG00000229064
AL354893.2	ENSG00000229065
AC093459.1	ENSG00000229066
TMPOP1	ENSG00000229068
LINC01165	ENSG00000229081
PSMA6P2	ENSG00000229083
LINC01548	ENSG00000229086
MTND1P10	ENSG00000229088
ANKRD20A8P	ENSG00000229089
HSPA8P8	ENSG00000229091
IGHV3-47	ENSG00000229092
OR51AB1P	ENSG00000229093
CALM2P2	ENSG00000229097
ELOCP20	ENSG00000229101
AC076966.2	ENSG00000229102
YY1P2	ENSG00000229104
ASTN2-AS1	ENSG00000229105
BTBD6P1	ENSG00000229106
ABHD17AP4	ENSG00000229107
LINC02587	ENSG00000229108
AL137847.1	ENSG00000229109
AC006355.1	ENSG00000229110
MED4-AS1	ENSG00000229111
AL137026.1	ENSG00000229116
RPL41	ENSG00000229117
AC068491.2	ENSG00000229118
AC026403.1	ENSG00000229119
CYCSP4	ENSG00000229120
AGBL5-IT1	ENSG00000229122
VIM-AS1	ENSG00000229124
KANSL1L-AS1	ENSG00000229127
AC016710.2	ENSG00000229131
EIF4A1P10	ENSG00000229132
RPS7P4	ENSG00000229133
CCDC26	ENSG00000229140
HCG4P8	ENSG00000229142
AC009480.2	ENSG00000229143
ACTBP1	ENSG00000229145
SNX18P4	ENSG00000229146
SMPD4P2	ENSG00000229147
CRYGEP	ENSG00000229150
AC233976.1	ENSG00000229151
ANKRD10-IT1	ENSG00000229152
EPHA1-AS1	ENSG00000229153
KCNQ5-AS1	ENSG00000229154
LINC02038	ENSG00000229155
CR769776.2	ENSG00000229156
AC009229.2	ENSG00000229160
AL445471.1	ENSG00000229162
NAP1L1P2	ENSG00000229163
AC114488.1	ENSG00000229167
RPL19P20	ENSG00000229168
AC073065.1	ENSG00000229172
LINC00382	ENSG00000229175
AC008154.1	ENSG00000229177
AC233280.1	ENSG00000229178
AC006001.3	ENSG00000229180
PGA4	ENSG00000229183
ATP5PDP2	ENSG00000229184
AL050349.1	ENSG00000229188
AC069542.1	ENSG00000229190
AL358473.1	ENSG00000229191
AC004870.3	ENSG00000229192
AC009495.1	ENSG00000229195
AC087071.1	ENSG00000229196
LINC02787	ENSG00000229201
AC103564.1	ENSG00000229203
PTGES3P3	ENSG00000229204
LINC00200	ENSG00000229205
AL162408.1	ENSG00000229206
SERPINH1P1	ENSG00000229207
AC073987.1	ENSG00000229209
KCTD9P6	ENSG00000229211
AC044860.1	ENSG00000229212
LINC00242	ENSG00000229214
AC096633.1	ENSG00000229220
HNRNPA1P66	ENSG00000229221
KRT18P4	ENSG00000229222
AC105398.2	ENSG00000229224
BTF3L4P4	ENSG00000229226
AL356056.1	ENSG00000229227
LINC00582	ENSG00000229228
AC022201.1	ENSG00000229229
MT1P3	ENSG00000229230
RPL37P18	ENSG00000229235
TTTY10	ENSG00000229236
HMGN1P37	ENSG00000229237
PPP1R12BP1	ENSG00000229238
AL451000.1	ENSG00000229239
LINC00710	ENSG00000229240
PNPT1P1	ENSG00000229241
LINC01981	ENSG00000229243
ENSG00000229245	ENSG00000229245
LINC00377	ENSG00000229246
WBP2P1	ENSG00000229248
LINC00446	ENSG00000229249
HNRNPA1P8	ENSG00000229251
OR8C1P	ENSG00000229254
AC138089.1	ENSG00000229255
ST13P13	ENSG00000229256
AL807752.2	ENSG00000229257
LPGAT1-AS1	ENSG00000229258
LRRC37A12P	ENSG00000229259
AL596223.1	ENSG00000229261
AL160411.2	ENSG00000229262
AC004691.1	ENSG00000229263
POM121L8P	ENSG00000229266
SNHG31	ENSG00000229267
PES1P2	ENSG00000229268
AC091493.1	ENSG00000229271
AL157388.1	ENSG00000229272
BX664615.1	ENSG00000229273
LINC02829	ENSG00000229274
REV3L-IT1	ENSG00000229276
AL133353.1	ENSG00000229278
AL031963.2	ENSG00000229282
AL356387.1	ENSG00000229283
AP000431.1	ENSG00000229289
LINC02768	ENSG00000229291
RFPL4AL1	ENSG00000229292
AL139294.1	ENSG00000229294
TUBB8P1	ENSG00000229298
AC006455.4	ENSG00000229301
PPIAP25	ENSG00000229303
AP001464.1	ENSG00000229306
LINC00459	ENSG00000229307
AC010737.1	ENSG00000229308
AL353633.1	ENSG00000229309
AL353693.1	ENSG00000229312
AL133268.3	ENSG00000229313
ORM1	ENSG00000229314
MCHR2-AS1	ENSG00000229315
HMGB1P45	ENSG00000229316
KRT8P12	ENSG00000229320
AC008269.1	ENSG00000229321
ENSG00000229323	ENSG00000229323
NUTF2P7	ENSG00000229324
ACAP2-IT1	ENSG00000229325
AC069154.1	ENSG00000229326
AL391839.1	ENSG00000229327
AC006947.1	ENSG00000229330
GK-IT1	ENSG00000229331
PGBD4P8	ENSG00000229332
AC046143.1	ENSG00000229334
SREK1IP1P1	ENSG00000229336
AC079305.4	ENSG00000229337
AL136084.1	ENSG00000229338
AC093414.1	ENSG00000229339
MTCO2P12	ENSG00000229344
AL392185.1	ENSG00000229345
HYI-AS1	ENSG00000229348
ACTG1P9	ENSG00000229349
AC007563.1	ENSG00000229352
LRRC3-DT	ENSG00000229356
CYCSP51	ENSG00000229357
DPY19L1P1	ENSG00000229358
PIN1P1	ENSG00000229359
PPP1R2P5	ENSG00000229360
AC006967.1	ENSG00000229365
HMGN2P19	ENSG00000229367
AC090587.2	ENSG00000229368
AL450263.2	ENSG00000229369
AC073062.1	ENSG00000229370
SZT2-AS1	ENSG00000229372
LINC00452	ENSG00000229373
USP24P1	ENSG00000229375
CICP3	ENSG00000229376
AC006041.1	ENSG00000229379
AC147651.2	ENSG00000229380
BX322557.1	ENSG00000229382
HMGB1P16	ENSG00000229384
CTNNA2-AS1	ENSG00000229385
LINC01715	ENSG00000229388
AC111152.1	ENSG00000229389
MICD	ENSG00000229390
HLA-DRB6	ENSG00000229391
AL139246.4	ENSG00000229393
AC062039.1	ENSG00000229395
AL592148.1	ENSG00000229399
CNIH3-AS1	ENSG00000229400
MIR5689HG	ENSG00000229401
AL162151.1	ENSG00000229402
AC005999.1	ENSG00000229403
LINC00858	ENSG00000229404
AC092580.1	ENSG00000229405
AL359853.1	ENSG00000229407
AL117328.1	ENSG00000229409
AC018638.1	ENSG00000229413
KCNQ1-AS1	ENSG00000229414
SFTA3	ENSG00000229415
NPM1P25	ENSG00000229417
RALGAPA1P1	ENSG00000229419
AL512625.2	ENSG00000229422
AC007349.1	ENSG00000229424
AJ009632.2	ENSG00000229425
ANKRD26P4	ENSG00000229427
MED8-AS1	ENSG00000229431
LINC02069	ENSG00000229433
AC017048.1	ENSG00000229434
PIP5K1P2	ENSG00000229435
